,x,y,nom_commune,num_departement,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,param_20,param_21,param_22,param_23,param_24,param_25,param_26,param_27,param_28,param_29,param_30,param_31,param_32,param_33,param_34,param_35,pesticides et leurs métabolites,"métaux, métalloïdes et autres ions minéraux",hydrocarbures aromatiques polycycliques,substances chimiques industrielles (utilisation et/ou production),médicaments,"nitrates, nitrites et engrais azotés"
59,1.105,48.391,Le Thieulin,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
60,5.145,48.355,Donjeux,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
61,3.74,49.032,Festigny,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
62,5.136,48.337,Gudmont-Villiers,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
63,6.371,45.202,Albiez-Montrond,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
64,3.965,48.978,Grauves,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
65,5.453,49.256,Ornes,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
66,6.295,45.329,Sainte-Marie-de-Cuines,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
67,6.286,45.322,Sainte-Marie-de-Cuines,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
68,2.127,42.547,La Llagonne,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
69,2.413,50.137,Orville,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
70,2.119,47.124,Quincy,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
71,5.892,45.508,Montagnole,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
72,6.197,45.468,La Table,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
73,-0.215,45.219,Saint-Martin-d'Ary,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
74,1.071,48.991,Aulnay-sur-Iton,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
75,-0.633,45.292,Saint-Ciers-sur-Gironde,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
