,nom,count,usage_lm
159,pirimicarbe,1,pesticides et leurs métabolites
160,cymoxanil,1,pesticides et leurs métabolites
161,pyriméthanil,1,pesticides et leurs métabolites
162,oxydéméton-méthyl,1,pesticides et leurs métabolites
163,fenpropidine,1,pesticides et leurs métabolites
164,endosulfan alpha,1,pesticides et leurs métabolites
165,heptachlore,1,pesticides et leurs métabolites
166,molybdène,1,"métaux, métalloïdes et autres ions minéraux"
167,heptachlore époxyde endo trans,1,pesticides et leurs métabolites
168,fipronil,1,pesticides et leurs métabolites
169,ethylbenzène,1,substances chimiques industrielles (utilisation et/ou production)
